LAD23NM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Isles of Scilly,277.7,262.8,,,,,,,,,,422.3,,,,,
North Devon,290.5,292.9,293.8,325.1,327.6,331.0,323.3,330.8,330.0,336.8,356.8,372.9,373.4,418.9,455.8,519.0,534.1
Gwynedd,292.4,298.6,337.8,314.9,318.2,316.3,331.6,346.5,352.7,349.0,372.4,401.4,377.1,386.1,426.5,476.6,492.9
Boston,296.7,309.5,325.6,312.5,308.3,347.9,345.7,342.1,356.5,359.5,373.7,389.2,349.2,446.9,459.7,481.2,506.8
Thanet,299.8,305.1,304.2,306.7,332.2,337.8,331.7,337.7,340.9,360.3,388.8,393.3,422.2,458.5,486.4,508.5,554.5
Torbay,301.9,314.3,322.1,321.4,327.3,323.1,336.4,339.5,361.4,366.0,354.3,392.0,383.2,456.3,449.0,488.5,527.6
Great Yarmouth,302.4,291.2,303.8,313.1,335.4,327.3,328.7,306.1,337.3,329.4,368.1,373.8,373.2,440.8,479.1,480.7,543.7
Powys,304.9,355.2,343.9,366.9,343.9,346.1,369.2,381.2,365.1,384.1,417.7,430.5,426.6,455.7,484.9,550.9,571.0
Torridge,305.7,306.9,293.7,279.9,295.5,304.9,333.8,306.8,349.1,402.9,409.7,414.9,389.8,393.0,464.0,513.8,575.2
Blackpool,306.8,300.9,306.9,290.8,313.2,294.1,306.3,318.2,332.1,338.8,351.0,379.1,369.7,401.2,407.5,460.7,523.0
Middlesbrough,308.1,313.4,325.8,304.7,340.4,318.5,332.7,365.7,355.6,364.3,378.5,397.6,414.6,422.0,452.5,478.2,543.6
Ceredigion,311.4,326.8,349.6,355.2,330.1,347.4,370.7,362.5,372.4,372.4,380.1,409.3,402.8,468.0,491.5,514.7,570.7
North Norfolk,312.6,341.9,326.6,342.1,335.2,328.4,335.9,339.6,348.1,370.5,406.6,393.4,387.4,397.0,431.8,500.7,538.7
Denbighshire,312.6,319.7,326.6,346.3,333.2,352.2,350.1,372.4,376.5,387.6,361.0,404.1,430.5,423.4,433.3,469.1,507.1
Breckland,313.9,336.4,319.7,314.0,329.0,316.9,345.8,331.9,364.8,377.0,430.0,443.2,440.5,454.8,504.9,517.7,560.3
Chichester,314.9,361.7,347.0,366.3,371.8,379.3,400.0,388.8,423.6,414.2,421.5,468.0,422.6,491.5,517.8,498.3,544.0
Leicester,315.6,334.8,329.7,325.9,342.6,356.7,338.7,343.0,362.3,371.1,369.9,394.7,382.7,436.7,448.1,458.9,517.5
Newark and Sherwood,315.6,354.0,359.8,348.0,365.1,357.6,377.1,370.0,376.6,365.7,396.2,421.0,411.4,484.8,499.5,538.8,566.6
Teignbridge,315.9,338.2,343.1,340.6,335.9,362.1,352.9,351.2,370.7,379.8,402.5,391.6,406.1,428.7,460.8,515.0,552.4
Adur,317.6,338.4,330.4,322.7,384.6,373.4,397.0,421.9,405.0,402.7,436.9,462.2,459.8,445.4,482.0,525.8,552.7
Cornwall,318.2,332.7,339.3,330.6,339.9,337.9,335.6,341.4,361.8,379.6,374.2,396.5,391.6,416.6,480.0,503.9,554.8
Moray,320.6,326.2,331.9,336.9,332.6,338.7,335.7,357.5,363.4,361.6,371.1,407.4,441.4,438.0,467.7,499.6,490.1
"Herefordshire, County of",321.0,328.0,336.2,331.6,334.2,327.9,351.1,355.1,361.3,382.5,379.9,418.8,406.6,449.0,457.2,525.2,559.9
